LIQUIDITY_POOL_ADDRESS,MINT,TOTAL_ADDED_LIQUIDITY,TOTAL_REMOVED_LIQUIDITY,NUM_LIQUIDITY_ADDS,NUM_LIQUIDITY_REMOVES,ADD_TO_REMOVE_RATIO,LAST_POOL_ACTIVITY_TIMESTAMP,FIRST_POOL_ACTIVITY_TIMESTAMP,LAST_SWAP_TIMESTAMP,LAST_SWAP_TX_ID,INACTIVITY_STATUS
AxFxfThs1MCmBgW1qvJ4NFtwuz1zLoy3Ah9hhPpeknee,J7WYVzFNynk9D28eBCccw2EYkygygiLDCVCabV7CupWL,186315886.188666,981798.455088644,32,2,189.769993244,2021-12-12 15:25:56.000,2021-12-10 17:29:22.000,2021-12-30 22:56:51.000,3iMBnC5xe2ePDgchLYavcbCRmFjWGFAGPDqqGXnzkJxfaaeFGgbxrSsW44VeLuC8oniecyzgrnB4AtoRXBGe1kbX,Active
JDjMV39P7qWbxxQQszSA2xK3igFWFjmvr6niFQx2nJkn,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,316506.488718,260167.121368,302,212,1.216550681,2021-12-30 12:32:41.000,2021-12-10 14:06:54.000,2021-12-30 23:59:52.000,3NPujARykRYb85W7berMqmBbyfGLcDt8kw7GiJqTBJ7ug3ueAHQiEKH4vmRrGgRQqkzB3h1Ebs8rY6uqhn1ciFvo,Active
JDjMV39P7qWbxxQQszSA2xK3igFWFjmvr6niFQx2nJkn,CH74tuRLTYcxG7qNJCsV9rghfLXJCQJbsu7i52a8F1Gn,4540648.58207161,4055943.98497117,302,212,1.119504756,2021-12-30 12:32:41.000,2021-12-10 14:06:54.000,2021-12-30 23:53:09.000,4oGtqF7yisfDHwCcfCip7nbzC1B4dccoaS7YZ7F6SK5x85n4tZA84KtTLDfrzXDL8oSUaMG8aqjZ3DDNmmw1mJ5V,Active
A7ZxDrK9LSkVXhfRTu2pRCinwYfdxW2kK6DaJk12jRWw,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,29347972.122266,19659531.163332,25484,6394,1.492811394,2021-12-30 23:59:41.000,2021-12-10 09:28:08.000,2021-12-30 23:59:52.000,3NPujARykRYb85W7berMqmBbyfGLcDt8kw7GiJqTBJ7ug3ueAHQiEKH4vmRrGgRQqkzB3h1Ebs8rY6uqhn1ciFvo,Active
A7ZxDrK9LSkVXhfRTu2pRCinwYfdxW2kK6DaJk12jRWw,AD27ov5fVU2XzwsbvnFvb1JpCBaCB5dRXrczV9CqSVGb,2273104.08791542,1060041.72231116,25484,6394,2.144353416,2021-12-30 23:59:41.000,2021-12-10 09:28:08.000,2021-12-30 23:59:33.000,2CaKkSQKoEsRLRJHiq6Z9T8FqNzcc8oMo4dN73j81VziMWpvEYpBAhzDBAzgZC98jLghu9zThiQjJvXK2d47o8Eh,Active
JSoLLrxK5bYdHwTEWYaGgmeycBCNXKDiBCTw5hXGBg7,So11111111111111111111111111111111111111112,15088.706887772,10314.659898165,333,116,1.46284095,2021-12-30 16:11:11.000,2021-12-09 23:09:03.000,2021-12-30 23:59:55.000,25WYgLnmo5ej6rUKtsNSipMZhgiwpjSLiA9UBjDQf9mcddMAFfY3Tv3tCZZqgqKnqWYM7si89x8SR456dGu4552v,Active
JSoLLrxK5bYdHwTEWYaGgmeycBCNXKDiBCTw5hXGBg7,7Q2afV64in6N6SeZsAAB81TJzwDoD6zpqmHkzi9Dcavn,12921.863464444,547.962887339,207,31,23.581639857,2021-12-30 23:16:57.000,2021-12-09 23:08:44.000,2021-12-30 22:57:24.000,2hsdV7wwQcpwpCh5ogsjRsNTDob1ayE6hRhWvUo4RCCi7PFSgG9Ke3uWMmVYfrw4dhYCxW1saZTCuGuL9BYB8gJU,Active
CfBSfVTcYFJsD8vZ2fTiMGkUYFim2rv8weAoqHxUU2pn,NFTUkR4u7wKxy9QLaX2TGvd9oZSWoMo4jqSJqdMb7Nk,3508329.886476,1402104.47019,3518,728,2.502188646,2021-12-30 23:38:06.000,2021-12-09 19:42:53.000,2021-12-30 23:53:43.000,5uVdfDtqxFwYtc2rGCjnx5PfzHJhcYHd3GJZNTk2epgGK8wEzYLR8Thq2bTF2BFsJox3NWJgKeDJKeWGwUvBajo7,Active
CfBSfVTcYFJsD8vZ2fTiMGkUYFim2rv8weAoqHxUU2pn,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1349042.49379,540213.50945,3518,728,2.497239462,2021-12-30 23:38:06.000,2021-12-09 19:42:53.000,2021-12-30 23:59:52.000,3NPujARykRYb85W7berMqmBbyfGLcDt8kw7GiJqTBJ7ug3ueAHQiEKH4vmRrGgRQqkzB3h1Ebs8rY6uqhn1ciFvo,Active
FEiWZLDDFthHtFHhavYwdmF8RThgTNt8vzBqAwV4hTar,BAexggGFsiLCKr17cSZF12wkHd8BkR1DBhzuSb78WTR2,501419.304064004,128866.964426683,63,18,3.890984057,2021-12-30 04:00:08.000,2021-12-09 19:35:07.000,2021-12-30 23:57:02.000,5G2nfFEjPbS5K8RbhoHvGVSrrfXgE4yrcwAwcKxeEnU8KbsJfEv7M3843RNbrz3MHxWMgoFNH2w7RwfvATg1ZZ5y,Active
