LIQUIDITY_POOL_ADDRESS,MINT,TOTAL_ADDED_LIQUIDITY,TOTAL_REMOVED_LIQUIDITY,NUM_LIQUIDITY_ADDS,NUM_LIQUIDITY_REMOVES,ADD_TO_REMOVE_RATIO,LAST_POOL_ACTIVITY_TIMESTAMP,FIRST_POOL_ACTIVITY_TIMESTAMP,LAST_SWAP_TIMESTAMP,LAST_SWAP_TX_ID,INACTIVITY_STATUS
4nAiqm5QiZiwh1sMpmuJJdVUH12Fst2kPPzApNfppQGd,7xKXtg2CW87d97TXJSDpbD5jBkheTqA83TZRuJosgAsU,3045.221951374,3045.221951372,2,8,1,2022-12-30 21:31:46.000,2022-12-30 18:19:41.000,2022-12-30 23:59:49.000,nfXu8DgGnTtif4PveqwbvmfmvkN9FJ7S1yhUCW44iNJTFtZJZQjts8C76skXs9C2ku1JGj6uUoHFh6W8kqw9HDk,Active
5hkSYDHkR6b5S4PZ9rXGGkdeKnwgJTRTpjpL57VLbLve,So11111111111111111111111111111111111111112,759.292617948,33.995678932,18,8,22.334974379,2022-12-30 17:17:33.000,2022-12-29 18:13:11.000,2022-12-31 00:00:00.000,61TwwAeMjysTfa8AfzynvRU9i2WgEc6DyAVFWmqPDWKotM4KVDpR5AkkHs3twk1N4CpghSEqdiKUF18D17jmoMxK,Active
5hkSYDHkR6b5S4PZ9rXGGkdeKnwgJTRTpjpL57VLbLve,6fr6Dwy77PvYaMc6AFYkoM3YYcAd69hmnRPVxdCebSxn,96521.6,4971.16,18,8,19.416313295,2022-12-30 17:17:33.000,2022-12-29 18:13:11.000,2022-12-30 22:57:23.000,LFK2dr3HQfQJmmybF81SoUbt8NEFFLXgxdNGVcPi1U5qeLae3rJavwncuqr7Q1aGEuSwfGAUpcBsAnvCne9ELud,Active
8QaXeHBrShJTdtN1rWCccBxpSVvKksQ2PCu5nufb2zbk,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,22.116796,19.13749,14,8,1.155679036,2022-12-30 23:47:23.000,2022-12-27 13:03:14.000,2022-12-31 00:00:00.000,5HAFDwWMNibT19hJRW7NcsnimDEsCxybi8Xq73YNJEZbLef7L1rmD96iFnV6Tv3kvjYj9AxU1fFqPMbdjEvNY2LB,Active
8QaXeHBrShJTdtN1rWCccBxpSVvKksQ2PCu5nufb2zbk,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,593903816.19706,577533856.34398,14,8,1.028344589,2022-12-30 23:47:23.000,2022-12-27 13:03:14.000,2022-12-30 23:59:42.000,3NhSbWEBedpbjUNMA1Dg9FvR9EAoQM8vTv6VKzFSUs3cpJ7m36ajCyYgxC7WcF4HKw6uvfok6GK3MmmNMNXEtzUU,Active
6sXAkcBjTkSQFLWbrDSk2TRBCDSZDDmUMkcF25xhdwcX,76uKuG1z9zJomG1tpC81eWgtaDD2uZRdKQ5U4DEQ8hGL,33609134.8168546,93206722.9587255,2,2,0.3605870237,2022-12-27 11:40:36.000,2022-12-27 09:56:09.000,2022-12-29 20:35:18.000,3rQfYvzB11xYvXJUwZgAcxM7vtvwC3XERGvRKWt6dKAnXU2Pgyf2erTGrSQ4J6Ggrimi1L7cTMnteEJuAG51h29L,Active
6sXAkcBjTkSQFLWbrDSk2TRBCDSZDDmUMkcF25xhdwcX,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6000.02,8615.728164,2,2,0.696403123,2022-12-27 11:40:36.000,2022-12-27 09:56:09.000,2022-12-31 00:00:00.000,5HAFDwWMNibT19hJRW7NcsnimDEsCxybi8Xq73YNJEZbLef7L1rmD96iFnV6Tv3kvjYj9AxU1fFqPMbdjEvNY2LB,Active
DzNdhduUJyit6Tw8fV3e9rCsjvFB26ysD3tNfQQFbWJU,ErGB9xa24Szxbk1M28u2Tx8rKPqzL6BroNkkzk5rG4zj,374.77807878,5.23942254,4,10,71.530416934,2022-12-30 23:25:07.000,2022-12-26 12:34:05.000,2022-12-30 23:44:09.000,RzZNW5Z6JDu7puBagHMDtdsTwbZsMF7A8sSTXm2EVUR2DiW1S5FNcjyX4jH2NiNFZyhNdMChtyRBpFt2xMRj8Kp,Active
CRfNkTYF4gYjhxXv6ZcqNCL1JZTWKiRvvkF37hEXX5Sj,2jw1uFmc1hhfJH3EqGhaE2rfZMMC2YBpxkZcdUbPppMn,19175.575399946,3220.011110762,2,2,5.955127091,2022-12-28 15:33:49.000,2022-12-26 05:35:43.000,2022-12-30 23:27:47.000,22fXAu7TK9JSUACQZYcbFLkGbK65gUBjET4y2QM8khNT2jXZpMJewTzWbz2mzmNCJXYGDunwvkoqKLoeKUv1uqKx,Active
CRfNkTYF4gYjhxXv6ZcqNCL1JZTWKiRvvkF37hEXX5Sj,So11111111111111111111111111111111111111112,122,21.54704028,2,2,5.662030535,2022-12-28 15:33:49.000,2022-12-26 05:35:43.000,2022-12-31 00:00:00.000,61TwwAeMjysTfa8AfzynvRU9i2WgEc6DyAVFWmqPDWKotM4KVDpR5AkkHs3twk1N4CpghSEqdiKUF18D17jmoMxK,Active
